# started on Sun Feb  3 23:10:54 2019

     1.502996476,27903602,,branches,74682979,100.00,373.979,M/sec
     1.502996476,132084872,,instructions,74683622,100.00,,
     1.502996476,30.896983,,task-clock,74612802,100.00,0.309,CPUs utilized
     1.502996476,111,,context-switches,74613318,100.00,0.001,M/sec
     1.502996476,1108,,page-faults,74613805,100.00,0.015,M/sec
     1.502996476,6,,cpu-migrations,74614260,100.00,0.080,K/sec
     1.603189393,107689014,,branches,76551580,100.00,1408.057,M/sec
     1.603189393,549085325,,instructions,76552272,100.00,,
     1.603189393,104.497567,,task-clock,76480595,100.00,1.045,CPUs utilized
     1.603189393,98,,context-switches,76481103,100.00,0.001,M/sec
     1.603189393,2916,,page-faults,76481585,100.00,0.038,M/sec
     1.603189393,0,,cpu-migrations,76482054,100.00,0.000,K/sec
     1.703379687,106063487,,branches,78151598,100.00,1358.401,M/sec
     1.703379687,581471793,,instructions,78152263,100.00,,
     1.703379687,103.664489,,task-clock,78079647,100.00,1.037,CPUs utilized
     1.703379687,98,,context-switches,78080144,100.00,0.001,M/sec
     1.703379687,203,,page-faults,78080595,100.00,0.003,M/sec
     1.703379687,0,,cpu-migrations,78081026,100.00,0.000,K/sec
     1.803564422,30054276,,branches,75783335,100.00,396.977,M/sec
     1.803564422,149726333,,instructions,75783895,100.00,,
     1.803564422,35.387783,,task-clock,75707880,100.00,0.354,CPUs utilized
     1.803564422,118,,context-switches,75708328,100.00,0.002,M/sec
     1.803564422,1222,,page-faults,75708756,100.00,0.016,M/sec
     1.803564422,0,,cpu-migrations,75709154,100.00,0.000,K/sec
     1.903863462,26997315,,branches,75551418,100.00,357.761,M/sec
     1.903863462,134556025,,instructions,75553945,100.00,,
     1.903863462,71.033034,,task-clock,75461828,100.00,0.710,CPUs utilized
     1.903863462,526,,context-switches,75463110,100.00,0.007,M/sec
     1.903863462,1063,,page-faults,75464089,100.00,0.014,M/sec
     1.903863462,5,,cpu-migrations,75464396,100.00,0.066,K/sec
     2.004245319,16566488,,branches,75369182,100.00,220.121,M/sec
     2.004245319,81608812,,instructions,75369182,100.00,,
     2.004245319,71.443717,,task-clock,75260934,100.00,0.714,CPUs utilized
     2.004245319,422,,context-switches,75260934,100.00,0.006,M/sec
     2.004245319,265,,page-faults,75260934,100.00,0.004,M/sec
     2.004245319,1,,cpu-migrations,75260934,100.00,0.013,K/sec
     2.104508386,22665566,,branches,75171277,100.00,302.028,M/sec
     2.104508386,111668636,,instructions,75171873,100.00,,
     2.104508386,70.716496,,task-clock,75044529,100.00,0.707,CPUs utilized
     2.104508386,544,,context-switches,75044982,100.00,0.007,M/sec
     2.104508386,172,,page-faults,75045348,100.00,0.002,M/sec
     2.104508386,0,,cpu-migrations,75045691,100.00,0.000,K/sec
     2.204819222,24505201,,branches,75414974,100.00,325.542,M/sec
     2.204819222,118862727,,instructions,75416972,100.00,,
     2.204819222,80.117662,,task-clock,75275117,100.00,0.801,CPUs utilized
     2.204819222,512,,context-switches,75278082,100.00,0.007,M/sec
     2.204819222,3768,,page-faults,75280293,100.00,0.050,M/sec
     2.204819222,2,,cpu-migrations,75284288,100.00,0.027,K/sec
     2.305177125,25131066,,branches,76569268,100.00,328.884,M/sec
     2.305177125,117024063,,instructions,76570324,100.00,,
     2.305177125,101.451421,,task-clock,76413216,100.00,1.015,CPUs utilized
     2.305177125,504,,context-switches,76414001,100.00,0.007,M/sec
